 Not Normalized
r    6378137.000000
Mass:  5972200000000000000000000.000000
 n:		m:		C:		S:
 28    5       6.9757505E-15      -2.7511963E-15
 28    6      -9.6066752E-17       2.6930708E-16
 28    7      -1.9426103E-18       4.2434632E-18
 28    8      -8.3807888E-20      -4.7970768E-20
 28    9       9.3167631E-21      -1.2743730E-20
 28   10      -3.9700055E-22       2.9763616E-22
 28   11      -4.9971352E-24      -2.5923147E-24
 28   12      -4.6896964E-26       5.5903792E-25
 28   13       4.4883808E-27       1.2456087E-26
 28   14      -6.8308511E-28      -1.0817689E-27
 28   15      -4.1992829E-29      -7.4930594E-30
 28   16      -6.6490865E-31      -1.9033580E-30
 28   17       8.5088709E-32      -3.0736930E-32
 28   18       1.5643982E-33      -9.1469510E-34
 28   19       7.9336684E-35       3.0489434E-34
 28   20      -9.2564870E-37       3.9545392E-36
 28   21       2.0829704E-37       2.0332727E-37
 28   22      -3.6623326E-39      -1.2009250E-38
 28   23       6.4693658E-40       2.5055414E-40
 28   24       6.4420352E-41      -8.0860145E-41
 28   25       2.9461921E-42      -6.9806695E-42
 28   26       3.7930483E-43       1.2027559E-43
 28   27      -2.4071966E-44       3.6178630E-45
 28   28       2.7283596E-45       2.6757239E-45
 29    0      -4.0536997E-08       0.0000000E+00
 29    1       1.4835392E-09      -4.9827492E-09
 29    2      -2.9756548E-11      -3.0523815E-11
 29    3       1.6217491E-12      -4.9234277E-12
 29    4      -3.6861475E-13       3.4842036E-14
 29    5      -3.9753972E-15       2.9661743E-15
 29    6       2.0017305E-16       1.7836953E-16
 29    7      -2.1435282E-18      -1.8809783E-18
 29    8      -4.0975864E-19       2.0047617E-19
 29    9       5.7151023E-23       1.9952632E-21
 29   10       3.6499217E-22       1.4514627E-24
 29   11      -5.9935584E-24       6.6080006E-24
 29   12      -2.7627735E-26      -1.7202492E-25
 29   13      -1.9196288E-27      -3.4957579E-27
 29   14      -1.5556229E-28      -2.3867118E-28
 29   15      -1.8657433E-29      -1.3869268E-29
 29   16       1.2094925E-32      -1.1507393E-30
 29   17      -7.3161173E-33      -1.5100656E-32
 29   18      -4.7922918E-34      -3.8083913E-34
 29   19      -3.6481889E-35       4.0036467E-35
 29   20      -2.1549300E-36       1.5351108E-36
 29   21      -1.2457663E-37      -6.4284550E-38
 29   22       7.2509740E-39      -7.6690910E-40
 29   23      -6.2036981E-41       7.1982418E-41
 29   24       5.6918653E-43      -4.0754349E-42
 29   25       6.4162895E-43       9.6833304E-43
 29   26       5.8735693E-44      -5.0891797E-44
 29   27      -4.4546430E-45      -4.0764909E-46
 29   28       5.1448185E-46      -3.0961043E-46
 29   29       9.0720123E-47      -3.6932447E-47
 30    0       4.8862579E-08       0.0000000E+00
 30    1       9.8868867E-11       3.9372967E-10
 30    2      -1.1844532E-10      -1.3951430E-11
 30    3       1.5327082E-12      -5.3726175E-12
 30    4      -2.1504000E-14      -4.8510749E-14
 30    5       0.0000000E+00       0.0000000E+00
 30    6       0.0000000E+00       0.0000000E+00
 30    7       0.0000000E+00       0.0000000E+00
 30    8       0.0000000E+00       0.0000000E+00
 30    9       0.0000000E+00       0.0000000E+00
 30   10       0.0000000E+00       0.0000000E+00
 30   11       0.0000000E+00       0.0000000E+00
 30   12       0.0000000E+00       0.0000000E+00
 30   13       0.0000000E+00       0.0000000E+00
 30   14       0.0000000E+00       0.0000000E+00
 30   15       0.0000000E+00       0.0000000E+00
 30   16       0.0000000E+00       0.0000000E+00
 30   17       0.0000000E+00       0.0000000E+00
 30   18       0.0000000E+00       0.0000000E+00
 30   19       0.0000000E+00       0.0000000E+00
 30   20       0.0000000E+00       0.0000000E+00
 30   21       0.0000000E+00       0.0000000E+00
 30   22       0.0000000E+00       0.0000000E+00
 30   23       0.0000000E+00       0.0000000E+00
 30   24       0.0000000E+00       0.0000000E+00
 30   25       0.0000000E+00       0.0000000E+00
 30   26       0.0000000E+00       0.0000000E+00
 30   27       0.0000000E+00       0.0000000E+00
 30   28       0.0000000E+00       0.0000000E+00
 30   29       0.0000000E+00       0.0000000E+00
 30   30       0.0000000E+00       0.0000000E+00
