 Not Normalized
r        289.774344
Mass:            74096121914.866579
 n:		m:		C:		S:
 19    3      -4.6683212E-09      -4.5848578E-09
 19    4       1.5357584E-10       1.7413519E-10
 19    5      -2.8287293E-11       5.5496090E-12
 19    6      -5.8250015E-13       9.1695290E-13
 19    7       7.8353807E-14       7.8596391E-15
 19    8       4.1854241E-16       1.8890579E-16
 19    9      -1.8409739E-16      -2.4338455E-16
 19   10      -1.4339249E-18      -4.2468481E-19
 19   11       6.9495291E-19       3.1103366E-19
 19   12       2.3192510E-21       1.3502694E-20
 19   13      -1.1179747E-21      -2.4936205E-21
 19   14       6.3006846E-23       1.1927282E-23
 19   15       7.1153760E-24       1.6102193E-23
 19   16      -6.5212887E-25       3.0570157E-25
 19   17       4.3601049E-26      -2.7298948E-26
 19   18      -2.1333878E-27       6.2180639E-28
 19   19       2.3932758E-29       3.8382466E-27
 20    0       8.5100796E-05       0.0000000E+00
 20    1      -6.5238671E-07       1.5926864E-06
 20    2      -3.1903940E-07      -6.3167370E-08
 20    3      -5.5922728E-09       1.9606455E-09
 20    4       6.4136443E-10       4.4445115E-10
 20    5       3.3495287E-13      -2.0053777E-12
 20    6      -7.3833628E-13      -5.9297754E-13
 20    7       1.4249214E-14       4.2376307E-15
 20    8      -1.1162320E-15       1.1547309E-15
 20    9       4.3017015E-17      -2.1443342E-17
 20   10      -7.5470035E-19      -4.3393255E-18
 20   11       4.7743161E-20       1.6029303E-19
 20   12      -6.4116400E-22       1.1609262E-20
 20   13      -1.6173544E-22       1.3534254E-22
 20   14      -6.2061252E-24      -4.1195690E-23
 20   15      -3.5014945E-24      -5.8115814E-26
 20   16       1.7195563E-25       2.4973756E-25
 20   17      -1.4893078E-26      -2.7226084E-27
 20   18       3.6076181E-28      -5.5225718E-28
 20   19      -1.4599253E-28      -1.6752299E-28
 20   20      -4.6132970E-29       1.6294048E-29
